timestamp_utc,met_hours,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,distance_earth_km,speed_kms,speed_ms,data_type,source
2026-04-06 15:05:51.319,123.09758861111112,-124715.00281157997,-334646.08956898475,-183232.31500012704,-0.11592247140106,-0.43489509631085,-0.24258277907063,401392.4743320572,0.511290689209752,511.290689209752,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:09:51.319,123.16425527777778,-124742.94168778346,-334750.3681844702,-183290.49322154644,-0.11690419883243,-0.43409218982278,-0.2422353589988,401514.6515458158,0.5106668092984566,510.66680929845666,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:13:51.319,123.23092194444445,-124771.11813709592,-334854.45324641606,-183348.5877897264,-0.11790230242864,-0.43328211203685,-0.24188565483002,401636.70328373177,0.5100421664349287,510.04216643492873,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:17:51.319,123.29758861111111,-124799.53612983074,-334958.3430059272,-183406.59814633385,-0.11891711726307,-0.43246462997759,-0.24153358142212,401758.6290437433,0.5094167330530167,509.4167330530167,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:21:51.319,123.36425527777779,-124828.1997177794,-335062.0356571383,-183464.523712192,-0.11994898729025,-0.43163950180206,-0.24117905019445,401880.42829233257,0.5087904807684438,508.7904807684438,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:25:51.319,123.43092194444445,-124857.1130363752,-335165.52933503746,-183522.3638864361,-0.12099826561871,-0.43080647639959,-0.24082196896614,402002.1004630193,0.5081633803485793,508.1633803485793,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:29:51.319,123.49758861111111,-124886.28030692428,-335268.8221131925,-183580.11804562903,-0.12206531479237,-0.42996529297076,-0.24046224178561,402123.6449547754,0.5075354016808611,507.53540168086107,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:33:51.319,123.56425527777779,-124915.70583890424,-335371.91200137266,-183637.78554283484,-0.12315050708088,-0.42911568058435,-0.24009976875082,402245.06113035657,0.5069065137398069,506.9065137398069,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:37:51.319,123.63092194444445,-124945.39403233456,-335474.7969430612,-183695.36570664827,-0.12425422477913,-0.4282573577111,-0.23973444581991,402366.3483145462,0.5062766845527601,506.2766845527601,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:41:51.319,123.69758861111112,-124975.34938021918,-335577.47481285414,-183752.85784017728,-0.12537686051593,-0.42739003173282,-0.23936616461136,402487.50579230656,0.505645881164046,505.645881164046,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:45:51.319,123.76425527777778,-125005.5764710647,-335679.94341373665,-183810.26121997664,-0.12651881757227,-0.42651339842539,-0.2389948121933,402608.5328068305,0.5050140695976415,505.0140695976415,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:49:51.319,123.83092194444446,-125036.07999147636,-335782.2004742335,-183867.57509492923,-0.12768051020929,-0.42562714141418,-0.23862027086107,402729.42855749023,0.5043812148182378,504.3812148182378,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:53:51.319,123.89758861111112,-125066.86472883313,-335884.2436454243,-183924.7986850728,-0.12886236400598,-0.42473093160011,-0.23824241790248,402850.1921976748,0.5037472806905531,503.74728069055305,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 15:57:51.319,123.96425527777778,-125097.9355740458,-335986.0704978179,-183981.93118036856,-0.13006481620701,-0.42382442655473,-0.23786112534995,402970.8228325106,0.503112229936973,503.112229936973,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:01:51.319,124.03092194444444,-125129.29752439952,-336087.678518077,-184038.97173940888,-0.13128831608057,-0.42290726988234,-0.23747625971868,403091.3195164576,0.5024760240932695,502.47602409326953,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:05:51.319,124.09758861111112,-125160.9556864833,-336189.06510558684,-184095.9194880601,-0.13253332528648,-0.42197909054722,-0.23708768173,403211.6812507751,0.50183862346242,501.83862346242,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:09:51.319,124.16425527777778,-125192.91527920924,-336290.2275688563,-184152.7735180375,-0.13380031825464,-0.42103950216379,-0.23669524601902,403331.9069808463,0.5011999870664199,501.1999870664199,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:13:51.319,124.23092194444445,-125225.18163692372,-336391.1631217454,-184209.53288540756,-0.13508978257376,-0.42008810224746,-0.23629880082547,403451.995593356,0.5005600725959406,500.5600725959406,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:17:51.319,124.29758861111111,-125257.76021261347,-336491.8688795073,-184266.1966090143,-0.13640221939042,-0.41912447142377,-0.23589818766679,403571.9459133105,0.4999188363578261,499.9188363578261,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:21:51.319,124.36425527777779,-125290.656581208,-336592.34185463545,-184322.7636688251,-0.13773814381852,-0.41814817259317,-0.23549324099227,403691.7567008912,0.4992762332202707,499.2762332202707,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:25:51.319,124.43092194444445,-125323.8764429822,-336692.5789525046,-184379.23300419035,-0.13909808535883,-0.41715875004874,-0.23508378781701,403811.4266481298,0.4986322165555615,498.6322165555615,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 16:29:51.319,124.49758861111111,-125357.42562706026,-336792.5769667943,-184435.6035120136,-0.14048258832858,-0.41615572854391,-0.23466964733444,403930.9543753966,0.4979867381803256,497.98673818032563,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
